"wday";"hour";"sensor";"sensores";"value_PM25"
"mié\,";22;"P3";"value";164,383
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";22;"P4";"value";191,35
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";22;"P5";"value";181,833
"mié\,";22;"SINCA";"PM25_SINCA";47
"mié\,";23;"P1";"value";160,317
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P2";"value";164,483
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P3";"value";158,25
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P4";"value";179,017
"mié\,";23;"SINCA";"PM25_SINCA";39
"mié\,";23;"P5";"value";170,25
"mié\,";23;"SINCA";"PM25_SINCA";39
"jue\,";0;"P1";"value";156,917
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P2";"value";160,617
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P3";"value";155,833
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P4";"value";172,133
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";0;"P5";"value";166,467
"jue\,";0;"SINCA";"PM25_SINCA";35
"jue\,";1;"P1";"value";154,3
"jue\,";1;"SINCA";"PM25_SINCA";34
"jue\,";1;"P2";"value";157,783
"jue\,";1;"SINCA";"PM25_SINCA";34
"jue\,";1;"P3";"value";152,833
"jue\,";1;"SINCA";"PM25_SINCA";34
"jue\,";1;"P4";"value";167,667
"jue\,";1;"SINCA";"PM25_SINCA";34
"jue\,";1;"P5";"value";164,017
"jue\,";1;"SINCA";"PM25_SINCA";34
"jue\,";2;"P1";"value";149,383
"jue\,";2;"SINCA";"PM25_SINCA";29
"jue\,";2;"P2";"value";151,917
"jue\,";2;"SINCA";"PM25_SINCA";29
"jue\,";2;"P3";"value";147,05
"jue\,";2;"SINCA";"PM25_SINCA";29
"jue\,";2;"P4";"value";160,367
"jue\,";2;"SINCA";"PM25_SINCA";29
"jue\,";2;"P5";"value";157,783
"jue\,";2;"SINCA";"PM25_SINCA";29
"jue\,";3;"P1";"value";143,933
"jue\,";3;"SINCA";"PM25_SINCA";23
"jue\,";3;"P2";"value";146,267
"jue\,";3;"SINCA";"PM25_SINCA";23
"jue\,";3;"P3";"value";141,583
"jue\,";3;"SINCA";"PM25_SINCA";23
"jue\,";3;"P4";"value";155,4
"jue\,";3;"SINCA";"PM25_SINCA";23
"jue\,";3;"P5";"value";152,217
"jue\,";3;"SINCA";"PM25_SINCA";23
"jue\,";4;"P1";"value";140,767
"jue\,";4;"SINCA";"PM25_SINCA";21
"jue\,";4;"P2";"value";142,467
"jue\,";4;"SINCA";"PM25_SINCA";21
"jue\,";4;"P3";"value";137,683
"jue\,";4;"SINCA";"PM25_SINCA";21
"jue\,";4;"P4";"value";152,167
"jue\,";4;"SINCA";"PM25_SINCA";21
"jue\,";4;"P5";"value";148,767
"jue\,";4;"SINCA";"PM25_SINCA";21
"jue\,";5;"P1";"value";132,133
"jue\,";5;"SINCA";"PM25_SINCA";16
"jue\,";5;"P2";"value";133,083
"jue\,";5;"SINCA";"PM25_SINCA";16
"jue\,";5;"P3";"value";129,183
"jue\,";5;"SINCA";"PM25_SINCA";16
"jue\,";5;"P4";"value";142,967
"jue\,";5;"SINCA";"PM25_SINCA";16
"jue\,";5;"P5";"value";140,7
"jue\,";5;"SINCA";"PM25_SINCA";16
"jue\,";6;"P1";"value";124,133
"jue\,";6;"SINCA";"PM25_SINCA";13
"jue\,";6;"P2";"value";124,4
"jue\,";6;"SINCA";"PM25_SINCA";13
"jue\,";6;"P3";"value";120,417
"jue\,";6;"SINCA";"PM25_SINCA";13
"jue\,";6;"P4";"value";133,333
"jue\,";6;"SINCA";"PM25_SINCA";13
"jue\,";6;"P5";"value";130,967
"jue\,";6;"SINCA";"PM25_SINCA";13
"jue\,";7;"P1";"value";114,967
"jue\,";7;"SINCA";"PM25_SINCA";11
"jue\,";7;"P2";"value";114,383
"jue\,";7;"SINCA";"PM25_SINCA";11
"jue\,";7;"P3";"value";111,633
"jue\,";7;"SINCA";"PM25_SINCA";11
"jue\,";7;"P4";"value";122,883
"jue\,";7;"SINCA";"PM25_SINCA";11
"jue\,";7;"P5";"value";122,55
"jue\,";7;"SINCA";"PM25_SINCA";11
"jue\,";8;"P1";"value";111,317
"jue\,";8;"SINCA";"PM25_SINCA";13
"jue\,";8;"P2";"value";110,9
"jue\,";8;"SINCA";"PM25_SINCA";13
"jue\,";8;"P3";"value";109,833
"jue\,";8;"SINCA";"PM25_SINCA";13
"jue\,";8;"P4";"value";116,717
"jue\,";8;"SINCA";"PM25_SINCA";13
"jue\,";8;"P5";"value";118,583
"jue\,";8;"SINCA";"PM25_SINCA";13
"jue\,";9;"P1";"value";108,9
"jue\,";9;"SINCA";"PM25_SINCA";13
"jue\,";9;"P2";"value";109,383
"jue\,";9;"SINCA";"PM25_SINCA";13
"jue\,";9;"P3";"value";109,467
"jue\,";9;"SINCA";"PM25_SINCA";13
"jue\,";9;"P4";"value";110,95
"jue\,";9;"SINCA";"PM25_SINCA";13
"jue\,";9;"P5";"value";115,65
"jue\,";9;"SINCA";"PM25_SINCA";13
"jue\,";10;"P1";"value";130,45
"jue\,";10;"SINCA";"PM25_SINCA";21
"jue\,";10;"P2";"value";134,6
"jue\,";10;"SINCA";"PM25_SINCA";21
"jue\,";10;"P3";"value";132,65
"jue\,";10;"SINCA";"PM25_SINCA";21
"jue\,";10;"P4";"value";133,417
"jue\,";10;"SINCA";"PM25_SINCA";21
"jue\,";10;"P5";"value";140,55
"jue\,";10;"SINCA";"PM25_SINCA";21
"jue\,";11;"P1";"value";140,7
"jue\,";11;"SINCA";"PM25_SINCA";36
"jue\,";11;"P2";"value";143,4
"jue\,";11;"SINCA";"PM25_SINCA";36
"jue\,";11;"P3";"value";142,15
"jue\,";11;"SINCA";"PM25_SINCA";36
"jue\,";11;"P4";"value";148,8
"jue\,";11;"SINCA";"PM25_SINCA";36
"jue\,";11;"P5";"value";148,967
"jue\,";11;"SINCA";"PM25_SINCA";36
"jue\,";12;"P1";"value";142,25
"jue\,";12;"SINCA";"PM25_SINCA";37
"jue\,";12;"P2";"value";145,1
"jue\,";12;"SINCA";"PM25_SINCA";37
"jue\,";12;"P3";"value";143,633
"jue\,";12;"SINCA";"PM25_SINCA";37
"jue\,";12;"P4";"value";150,167
"jue\,";12;"SINCA";"PM25_SINCA";37
"jue\,";12;"P5";"value";150,617
"jue\,";12;"SINCA";"PM25_SINCA";37
"jue\,";13;"P1";"value";140,067
"jue\,";13;"SINCA";"PM25_SINCA";33
"jue\,";13;"P2";"value";142,5
"jue\,";13;"SINCA";"PM25_SINCA";33
"jue\,";13;"P3";"value";141,183
"jue\,";13;"SINCA";"PM25_SINCA";33
"jue\,";13;"P4";"value";148,25
"jue\,";13;"SINCA";"PM25_SINCA";33
"jue\,";13;"P5";"value";148,483
"jue\,";13;"SINCA";"PM25_SINCA";33
"jue\,";14;"P1";"value";142,8
"jue\,";14;"SINCA";"PM25_SINCA";42
"jue\,";14;"P2";"value";145,267
"jue\,";14;"SINCA";"PM25_SINCA";42
"jue\,";14;"P3";"value";143,85
"jue\,";14;"SINCA";"PM25_SINCA";42
"jue\,";14;"P4";"value";152,983
"jue\,";14;"SINCA";"PM25_SINCA";42
"jue\,";14;"P5";"value";151,3
"jue\,";14;"SINCA";"PM25_SINCA";42
"jue\,";15;"P1";"value";157,183
"jue\,";15;"SINCA";"PM25_SINCA";57
"jue\,";15;"P2";"value";163,233
"jue\,";15;"SINCA";"PM25_SINCA";57
"jue\,";15;"P3";"value";158,867
"jue\,";15;"SINCA";"PM25_SINCA";57
"jue\,";15;"P4";"value";180,383
"jue\,";15;"SINCA";"PM25_SINCA";57
"jue\,";15;"P5";"value";172,717
"jue\,";15;"SINCA";"PM25_SINCA";57
"jue\,";16;"P1";"value";180,067
"jue\,";16;"SINCA";"PM25_SINCA";82
"jue\,";16;"P2";"value";190,017
"jue\,";16;"SINCA";"PM25_SINCA";82
"jue\,";16;"P3";"value";181,9
"jue\,";16;"SINCA";"PM25_SINCA";82
"jue\,";16;"P4";"value";215,717
"jue\,";16;"SINCA";"PM25_SINCA";82
"jue\,";16;"P5";"value";200,4
"jue\,";16;"SINCA";"PM25_SINCA";82
"jue\,";17;"P1";"value";184,717
"jue\,";17;"SINCA";"PM25_SINCA";86
"jue\,";17;"P2";"value";189,183
"jue\,";17;"SINCA";"PM25_SINCA";86
"jue\,";17;"P3";"value";181,383
"jue\,";17;"SINCA";"PM25_SINCA";86
"jue\,";17;"P4";"value";220,783
"jue\,";17;"SINCA";"PM25_SINCA";86
"jue\,";17;"P5";"value";203,333
"jue\,";17;"SINCA";"PM25_SINCA";86
"jue\,";18;"P1";"value";179,333
"jue\,";18;"SINCA";"PM25_SINCA";78
"jue\,";18;"P2";"value";184,817
"jue\,";18;"SINCA";"PM25_SINCA";78
"jue\,";18;"P3";"value";175,167
"jue\,";18;"SINCA";"PM25_SINCA";78
"jue\,";18;"P4";"value";215,217
"jue\,";18;"SINCA";"PM25_SINCA";78
"jue\,";18;"P5";"value";195,067
"jue\,";18;"SINCA";"PM25_SINCA";78
"jue\,";19;"P1";"value";159,167
"jue\,";19;"SINCA";"PM25_SINCA";61
"jue\,";19;"P2";"value";163
"jue\,";19;"SINCA";"PM25_SINCA";61
"jue\,";19;"P3";"value";157,867
"jue\,";19;"SINCA";"PM25_SINCA";61
"jue\,";19;"P4";"value";185,2
"jue\,";19;"SINCA";"PM25_SINCA";61
"jue\,";19;"P5";"value";172,583
