date;hour;wday;variable;sensor;value;variable_SINCA;sensor_SINCA;value_SINCA
04-06-2025 23:00;23;mié\,;PM25;P2;164,483;PM25;SINCA;39
04-06-2025 23:00;23;mié\,;PM25;P3;158,25;PM25;SINCA;39
04-06-2025 23:00;23;mié\,;PM25;P4;179,017;PM25;SINCA;39
04-06-2025 23:00;23;mié\,;PM25;P5;170,25;PM25;SINCA;39
05-06-2025;0;jue\,;PM25;P1;156,917;PM25;SINCA;35
05-06-2025;0;jue\,;PM25;P2;160,617;PM25;SINCA;35
05-06-2025;0;jue\,;PM25;P3;155,833;PM25;SINCA;35
05-06-2025;0;jue\,;PM25;P4;172,133;PM25;SINCA;35
05-06-2025;0;jue\,;PM25;P5;166,467;PM25;SINCA;35
05-06-2025 1:00;1;jue\,;PM25;P1;154,3;PM25;SINCA;34
05-06-2025 1:00;1;jue\,;PM25;P2;157,783;PM25;SINCA;34
05-06-2025 1:00;1;jue\,;PM25;P3;152,833;PM25;SINCA;34
05-06-2025 1:00;1;jue\,;PM25;P4;167,667;PM25;SINCA;34
05-06-2025 1:00;1;jue\,;PM25;P5;164,017;PM25;SINCA;34
05-06-2025 2:00;2;jue\,;PM25;P1;149,383;PM25;SINCA;29
05-06-2025 2:00;2;jue\,;PM25;P2;151,917;PM25;SINCA;29
05-06-2025 2:00;2;jue\,;PM25;P3;147,05;PM25;SINCA;29
05-06-2025 2:00;2;jue\,;PM25;P4;160,367;PM25;SINCA;29
05-06-2025 2:00;2;jue\,;PM25;P5;157,783;PM25;SINCA;29
05-06-2025 3:00;3;jue\,;PM25;P1;143,933;PM25;SINCA;23
05-06-2025 3:00;3;jue\,;PM25;P2;146,267;PM25;SINCA;23
05-06-2025 3:00;3;jue\,;PM25;P3;141,583;PM25;SINCA;23
05-06-2025 3:00;3;jue\,;PM25;P4;155,4;PM25;SINCA;23
05-06-2025 3:00;3;jue\,;PM25;P5;152,217;PM25;SINCA;23
05-06-2025 4:00;4;jue\,;PM25;P1;140,767;PM25;SINCA;21
05-06-2025 4:00;4;jue\,;PM25;P2;142,467;PM25;SINCA;21
05-06-2025 4:00;4;jue\,;PM25;P3;137,683;PM25;SINCA;21
05-06-2025 4:00;4;jue\,;PM25;P4;152,167;PM25;SINCA;21
05-06-2025 4:00;4;jue\,;PM25;P5;148,767;PM25;SINCA;21
05-06-2025 5:00;5;jue\,;PM25;P1;132,133;PM25;SINCA;16
05-06-2025 5:00;5;jue\,;PM25;P2;133,083;PM25;SINCA;16
05-06-2025 5:00;5;jue\,;PM25;P3;129,183;PM25;SINCA;16
05-06-2025 5:00;5;jue\,;PM25;P4;142,967;PM25;SINCA;16
05-06-2025 5:00;5;jue\,;PM25;P5;140,7;PM25;SINCA;16
05-06-2025 6:00;6;jue\,;PM25;P1;124,133;PM25;SINCA;13
05-06-2025 6:00;6;jue\,;PM25;P2;124,4;PM25;SINCA;13
05-06-2025 6:00;6;jue\,;PM25;P3;120,417;PM25;SINCA;13
05-06-2025 6:00;6;jue\,;PM25;P4;133,333;PM25;SINCA;13
05-06-2025 6:00;6;jue\,;PM25;P5;130,967;PM25;SINCA;13
05-06-2025 7:00;7;jue\,;PM25;P1;114,967;PM25;SINCA;11
05-06-2025 7:00;7;jue\,;PM25;P2;114,383;PM25;SINCA;11
05-06-2025 7:00;7;jue\,;PM25;P3;111,633;PM25;SINCA;11
05-06-2025 7:00;7;jue\,;PM25;P4;122,883;PM25;SINCA;11
05-06-2025 7:00;7;jue\,;PM25;P5;122,55;PM25;SINCA;11
05-06-2025 8:00;8;jue\,;PM25;P1;111,317;PM25;SINCA;13
05-06-2025 8:00;8;jue\,;PM25;P2;110,9;PM25;SINCA;13
05-06-2025 8:00;8;jue\,;PM25;P3;109,833;PM25;SINCA;13
05-06-2025 8:00;8;jue\,;PM25;P4;116,717;PM25;SINCA;13
05-06-2025 8:00;8;jue\,;PM25;P5;118,583;PM25;SINCA;13
05-06-2025 9:00;9;jue\,;PM25;P1;108,9;PM25;SINCA;13
05-06-2025 9:00;9;jue\,;PM25;P2;109,383;PM25;SINCA;13
05-06-2025 9:00;9;jue\,;PM25;P3;109,467;PM25;SINCA;13
05-06-2025 9:00;9;jue\,;PM25;P4;110,95;PM25;SINCA;13
05-06-2025 9:00;9;jue\,;PM25;P5;115,65;PM25;SINCA;13
05-06-2025 10:00;10;jue\,;PM25;P1;130,45;PM25;SINCA;21
05-06-2025 10:00;10;jue\,;PM25;P2;134,6;PM25;SINCA;21
05-06-2025 10:00;10;jue\,;PM25;P3;132,65;PM25;SINCA;21
05-06-2025 10:00;10;jue\,;PM25;P4;133,417;PM25;SINCA;21
05-06-2025 10:00;10;jue\,;PM25;P5;140,55;PM25;SINCA;21
05-06-2025 11:00;11;jue\,;PM25;P1;140,7;PM25;SINCA;36
05-06-2025 11:00;11;jue\,;PM25;P2;143,4;PM25;SINCA;36
05-06-2025 11:00;11;jue\,;PM25;P3;142,15;PM25;SINCA;36
05-06-2025 11:00;11;jue\,;PM25;P4;148,8;PM25;SINCA;36
05-06-2025 11:00;11;jue\,;PM25;P5;148,967;PM25;SINCA;36
