date;PM25_P1;PM25_P2;PM25_P3;PM25_P4;PM25_P5;PM25_SINCA;hour;wday
11-06-2025 17:00;153,65;158,083;151,933;174,967;163,717;39;17;mié\,
11-06-2025 18:00;156,667;161,417;155,35;181,783;167,633;49;18;mié\,
11-06-2025 19:00;157,217;161,767;155,65;182,65;168;44;19;mié\,
11-06-2025 20:00;153,917;157,6;152,15;173,733;163,35;45;20;mié\,
11-06-2025 21:00;153,3;157,6;152,283;172,3;162,3;41;21;mié\,
11-06-2025 22:00;151,75;155,167;149,567;169,033;160,333;40;22;mié\,
11-06-2025 23:00;152,05;155,817;149,067;168,067;160,3;35;23;mié\,
12-06-2025;151,067;154,933;148,183;166,267;159,383;28;0;jue\,
12-06-2025 1:00;140,75;143,517;138,517;153,733;149,15;25;1;jue\,
12-06-2025 2:00;150,767;155,633;149,467;169,183;160,95;40;2;jue\,
12-06-2025 3:00;152,783;157,5;151,667;168,317;161,95;40;3;jue\,
12-06-2025 4:00;151,717;155,45;150,067;165,467;160,35;33;4;jue\,
12-06-2025 5:00;150,617;154,45;147,717;163,417;158,467;34;5;jue\,
12-06-2025 6:00;147,933;152,4;146,133;161,017;156,067;31;6;jue\,
12-06-2025 7:00;129,85;133,4;127,883;140,133;137,217;17;7;jue\,
12-06-2025 8:00;103,467;104,983;103,683;109,4;109,433;9;8;jue\,
12-06-2025 9:00;98;99;100;102;103;6;9;jue\,
12-06-2025 10:00;98;99;100;102;103;4;10;jue\,
12-06-2025 11:00;98;99;100;102;103;3;11;jue\,
12-06-2025 12:00;98;99;100;102;103;2;12;jue\,
12-06-2025 13:00;98;99;100;102;103;3;13;jue\,
12-06-2025 14:00;98;99;100;102;103;3;14;jue\,
12-06-2025 15:00;98;99;100;102;103;2;15;jue\,
12-06-2025 16:00;98;99;100;102;103;3;16;jue\,
12-06-2025 17:00;98;99;100;102;103;1;17;jue\,
12-06-2025 18:00;98,133;99,167;100,033;102,05;103,3;1;18;jue\,
12-06-2025 19:00;99,333;99,75;100,3;102,367;104,183;3;19;jue\,
12-06-2025 20:00;107,183;107,65;106,633;109,117;112,683;6;20;jue\,
12-06-2025 21:00;103,117;103,767;103,35;105,617;108,3;8;21;jue\,
12-06-2025 22:00;103,117;103,633;103,283;105,967;108,383;7;22;jue\,
12-06-2025 23:00;101,6;102,017;101,867;105,45;106,717;5;23;jue\,
13-06-2025;101,433;101,667;101,7;103,967;106,5;6;0;vie\,
13-06-2025 1:00;98,9;99,467;100,267;102,5;104;3;1;vie\,
13-06-2025 2:00;98,6;99,3;100,083;102,117;103,617;1;2;vie\,
13-06-2025 3:00;98,483;99,217;100,183;102,167;103,533;4;3;vie\,
13-06-2025 4:00;98,017;99,017;100;102;103;2;4;vie\,
13-06-2025 5:00;98,8;99,7;100,5;102,533;103,967;1;5;vie\,
13-06-2025 6:00;98,133;99,017;100;102,033;103,083;2;6;vie\,
13-06-2025 7:00;98,233;99,1;100,017;102,033;103,25;3;7;vie\,
13-06-2025 8:00;100,75;101,317;101,35;103,45;105,75;5;8;vie\,
13-06-2025 9:00;98,05;99,05;100;102,017;103,1;5;9;vie\,
13-06-2025 10:00;105,733;107,333;106,9;107,617;112,467;12;10;vie\,
13-06-2025 11:00;107,633;109,15;109,817;107,767;114,167;7;11;vie\,
13-06-2025 12:00;115,833;117,383;118,75;114,133;122,967;13;12;vie\,
13-06-2025 13:00;126,3;128,917;129,883;125,667;134,617;15;13;vie\,
13-06-2025 14:00;117,633;119,583;120,317;116,283;124,883;13;14;vie\,
13-06-2025 15:00;118,35;120,433;120,25;118,883;125,967;10;15;vie\,
13-06-2025 16:00;126,567;129,417;128,183;128,283;134,767;18;16;vie\,
13-06-2025 17:00;122,65;123,95;122,75;123,817;130,133;15;17;vie\,
13-06-2025 18:00;121,7;123,167;119,317;123,75;128,017;15;18;vie\,
13-06-2025 19:00;128,75;130,7;126,55;130,783;134,683;16;19;vie\,
13-06-2025 20:00;138,767;141,717;136,867;141,45;145,133;21;20;vie\,
13-06-2025 21:00;135,117;137,567;133,317;137,617;142,233;15;21;vie\,
13-06-2025 22:00;130,683;132,683;128,217;134,167;137,917;17;22;vie\,
13-06-2025 23:00;125,7;127,617;123,133;128,817;132,167;10;23;vie\,
14-06-2025;117,333;118,2;114,317;120,15;123,95;10;0;sáb\,
14-06-2025 1:00;126,383;127,483;122,983;130,15;132,233;12;1;sáb\,
14-06-2025 2:00;120,75;121,517;116,917;124,65;126,817;12;2;sáb\,
14-06-2025 3:00;109,117;109,433;108,183;112,617;114,983;9;3;sáb\,
14-06-2025 4:00;106,733;107,233;105,733;109,767;111,767;5;4;sáb\,
14-06-2025 5:00;100,683;100,9;101,3;104;105,767;4;5;sáb\,
14-06-2025 6:00;99,817;100,133;100,417;103,067;104,9;7;6;sáb\,
14-06-2025 7:00;101,133;102,117;102,417;105,55;106,483;4;7;sáb\,
14-06-2025 8:00;98,2;99,183;100,1;102,15;103,2;2;8;sáb\,
14-06-2025 9:00;98;99;100;102;103;2;9;sáb\,
14-06-2025 10:00;98,283;99,267;100,2;102,133;103,383;1;10;sáb\,
14-06-2025 11:00;102,35;103,5;104,1;104,333;107,867;8;11;sáb\,
14-06-2025 12:00;102,633;103,75;104,417;104,583;108,233;6;12;sáb\,
14-06-2025 13:00;110,817;112,35;111,967;113,767;117,517;7;13;sáb\,
14-06-2025 14:00;119,433;120,917;120,133;123,9;126,4;14;14;sáb\,
14-06-2025 15:00;115,683;117,2;116,233;119,233;122,533;9;15;sáb\,
14-06-2025 16:00;119,417;120,967;120,65;123,783;126,5;19;16;sáb\,
14-06-2025 17:00;118,75;119,383;118,55;121,75;125,433;14;17;sáb\,
14-06-2025 18:00;119,883;121,3;119,767;123,683;127,133;15;18;sáb\,
14-06-2025 19:00;103,783;104,733;104,983;107,117;109,55;5;19;sáb\,
14-06-2025 20:00;104,433;105,267;105,833;107,817;110,267;5;20;sáb\,
14-06-2025 21:00;103,833;104,75;104,933;107,483;109,733;2;21;sáb\,
14-06-2025 22:00;98,167;99,083;100,217;102,05;103,267;1;22;sáb\,
14-06-2025 23:00;100,817;101,3;102,267;103,917;106,1;3;23;sáb\,
15-06-2025;101,333;101,883;102,7;104,683;106,817;10;0;dom\,
15-06-2025 1:00;99,467;100,25;101,033;103;104,7;7;1;dom\,
15-06-2025 2:00;105,867;106,517;106,883;108,633;112,75;8;2;dom\,
15-06-2025 3:00;104,85;105,1;105,417;107,45;110,517;9;3;dom\,
15-06-2025 4:00;102,367;102,983;103,533;105,567;107,9;6;4;dom\,
15-06-2025 5:00;101,117;101,633;102,333;104,133;106,467;3;5;dom\,
15-06-2025 6:00;99,267;99,783;100,517;102,467;104,233;4;6;dom\,
15-06-2025 7:00;98,533;99,4;100,233;102,183;103,75;1;7;dom\,
15-06-2025 8:00;99,117;99,833;100,667;102,5;104,383;4;8;dom\,
15-06-2025 9:00;100,867;101,117;102,017;104,1;106,183;3;9;dom\,
15-06-2025 10:00;104,333;104,783;105,75;106,65;110,067;4;10;dom\,
15-06-2025 11:00;100,3;100,933;101,617;103,05;105,267;4;11;dom\,
15-06-2025 12:00;101,033;102,4;102,667;104,083;106,383;6;12;dom\,
15-06-2025 13:00;107,9;109,033;109,4;109,633;114,417;6;13;dom\,
15-06-2025 14:00;125,433;127,95;127,35;128,083;133,367;16;14;dom\,
15-06-2025 15:00;133,083;136,217;135,933;136,117;141,667;22;15;dom\,
15-06-2025 16:00;133,867;135,867;134,867;135,95;141,75;23;16;dom\,
15-06-2025 17:00;137,8;139,883;137,75;139,467;144,933;28;17;dom\,
15-06-2025 18:00;143,45;146,683;143,633;145,567;150,983;26;18;dom\,
15-06-2025 19:00;129,217;130,4;128,867;130,567;136,233;16;19;dom\,
15-06-2025 20:00;129,35;131,083;129,517;130,933;136,8;23;20;dom\,
15-06-2025 21:00;112,833;113,65;113,8;115,15;119,5;7;21;dom\,
15-06-2025 22:00;99,917;100,667;101,55;103,15;105,1;5;22;dom\,
15-06-2025 23:00;102,95;104,267;103,517;105,683;108,867;6;23;dom\,
16-06-2025;98;99,033;100;102;103,033;5;0;lun\,
16-06-2025 1:00;98;99;100;102;103;2;1;lun\,
16-06-2025 2:00;98,017;99;100;102;103,05;2;2;lun\,
16-06-2025 3:00;98;99;100;102;103;4;3;lun\,
16-06-2025 4:00;98,033;99;100;102;103;2;4;lun\,
16-06-2025 5:00;98,133;99,067;100;102,15;103,25;1;5;lun\,
16-06-2025 6:00;98,083;99,1;100,017;102,133;103,133;2;6;lun\,
16-06-2025 7:00;98,2;99,117;100,017;102,033;103,233;4;7;lun\,
16-06-2025 8:00;98,15;99,117;100,033;102,1;103,15;5;8;lun\,
16-06-2025 9:00;98;99;100;102;103;3;9;lun\,
16-06-2025 10:00;98;99;100;102;103;2;10;lun\,
16-06-2025 11:00;98;99;100;102;103;2;11;lun\,
16-06-2025 12:00;98,083;99;100;102;103,1;4;12;lun\,
16-06-2025 13:00;98,067;99,017;100,1;102;103,117;3;13;lun\,
16-06-2025 14:00;98,433;99,4;100,4;102,083;103,533;1;14;lun\,
16-06-2025 15:00;98;99;100;102;103;3;15;lun\,
16-06-2025 16:00;98;99;100;102;103;2;16;lun\,
16-06-2025 17:00;98,017;99;100;102;103;3;17;lun\,
16-06-2025 18:00;99,4;100,117;100,817;102,5;104,35;5;18;lun\,
16-06-2025 19:00;99,3;99,933;100,683;102,533;104,217;6;19;lun\,
16-06-2025 20:00;98,05;99;100;102;103,017;4;20;lun\,
16-06-2025 21:00;98;99;100;102;103;4;21;lun\,
16-06-2025 22:00;98;99;100;102;103;3;22;lun\,
16-06-2025 23:00;98;99;100;102;103;3;23;lun\,
17-06-2025;98;99;100;102;103;4;0;mar\,
17-06-2025 1:00;98;99;100;102;103;4;1;mar\,
17-06-2025 2:00;98;99;100;102;103;1;2;mar\,
17-06-2025 3:00;98;99;100;102;103;1;3;mar\,
17-06-2025 4:00;98;99;100;102;103;1;4;mar\,
17-06-2025 5:00;98,017;99,017;100,017;102,017;103,033;4;5;mar\,
17-06-2025 6:00;98,25;99,067;100,033;102,033;103,183;3;6;mar\,
17-06-2025 7:00;98,65;99,35;100,183;102,167;103,583;2;7;mar\,
17-06-2025 8:00;100,533;101,317;101,417;103,4;105,85;4;8;mar\,
17-06-2025 9:00;98,317;99,183;100,117;102,15;103,417;4;9;mar\,
17-06-2025 10:00;118,817;120,517;119,317;118,817;126,217;15;10;mar\,
17-06-2025 11:00;115,583;117,217;117,25;113,9;123,583;10;11;mar\,
17-06-2025 12:00;121,05;123,333;123,567;122,55;128,633;15;12;mar\,
17-06-2025 13:00;122,117;123,85;123,833;122,983;130,2;12;13;mar\,
17-06-2025 14:00;123,083;124,933;124,517;123,6;130,933;15;14;mar\,
17-06-2025 15:00;123,517;125,717;125,317;124,417;131,733;13;15;mar\,
17-06-2025 16:00;124,467;126,417;125,8;125,967;132,417;12;16;mar\,
17-06-2025 17:00;130,517;132,833;130,617;132,55;137,883;18;17;mar\,
17-06-2025 18:00;131,95;133,633;129,583;134,65;138,25;16;18;mar\,
17-06-2025 19:00;135,517;137,133;131,933;137,383;140,65;13;19;mar\,
17-06-2025 20:00;137,717;139,733;134,517;139,433;142,783;15;20;mar\,
17-06-2025 21:00;142,733;145,383;140,217;145,367;148,483;20;21;mar\,
17-06-2025 22:00;140,483;143,583;138,217;143,9;146,767;20;22;mar\,
17-06-2025 23:00;133,05;135,1;129,75;137,467;140,033;18;23;mar\,
18-06-2025;127,5;128,583;124,367;132,417;133,533;9;0;mié\,
18-06-2025 1:00;127,167;127,867;122,967;132,917;133,583;15;1;mié\,
18-06-2025 2:00;119,167;118,267;112,783;125,6;126;11;2;mié\,
18-06-2025 3:00;126,283;127,317;122,667;131,033;132,817;8;3;mié\,
18-06-2025 4:00;108,55;108,633;106,983;112,917;114,15;6;4;mié\,
18-06-2025 5:00;106,583;106,817;106;111,383;111,967;7;5;mié\,
18-06-2025 6:00;111,7;111,617;109,033;117,817;118,283;7;6;mié\,
18-06-2025 7:00;107,933;108,467;107,15;112,233;113,867;4;7;mié\,
18-06-2025 8:00;106,533;106,683;106,233;109,75;112,35;7;8;mié\,
18-06-2025 9:00;115,233;114,933;114,183;113,75;122,967;12;9;mié\,
18-06-2025 10:00;125,633;127,667;125,517;128,733;133,383;14;10;mié\,
18-06-2025 11:00;128,55;131,133;130,533;130,35;135,55;20;11;mié\,
18-06-2025 12:00;123;125,65;125,317;123,8;130,583;18;12;mié\,
18-06-2025 13:00;130,8;133,083;133,533;131,983;139,05;24;13;mié\,
18-06-2025 14:00;133,783;136,65;137,083;135,917;142,533;22;14;mié\,
18-06-2025 15:00;141,017;144;144,1;144,133;149,683;32;15;mié\,
18-06-2025 16:00;146,333;151,167;148,933;150,017;155,2;36;16;mié\,
18-06-2025 17:00;152,733;156,183;151,867;156,167;160,3;35;17;mié\,
18-06-2025 18:00;155,117;158,65;153,133;159,45;161,65;37;18;mié\,
18-06-2025 19:00;150,917;154,317;149,233;156,017;157,867;34;19;mié\,
18-06-2025 20:00;148,683;151,433;147,383;154,45;157,067;30;20;mié\,
